match_date,Winners
12/18/2016,HELLRAISERS
12/18/2016,G2
12/18/2016,MOUSESPORTS
12/18/2016,DIGNITAS
12/18/2016,OPTIC
12/17/2016,FAZE
12/17/2016,OPTIC
12/17/2016,CLOUD9
12/17/2016,GODSENT
12/16/2016,FAZE
12/16/2016,GODSENT
12/16/2016,G2
12/16/2016,HELLRAISERS
12/15/2016,GODSENT
12/15/2016,HELLRAISERS
12/15/2016,NIP
12/15/2016,FAZE
12/15/2016,IMMORTALS
12/12/2016,ASTRALIS
12/11/2016,ASTRALIS
12/11/2016,OPTIC
12/11/2016,SK
12/11/2016,OPTIC
12/10/2016,SK
12/10/2016,OPTIC
12/10/2016,ENVY
12/10/2016,ENVY
12/9/2016,DIGNITAS
12/9/2016,ASTRALIS
12/9/2016,FAZE
12/9/2016,ASTRALIS
12/4/2016,IMMORTALS
12/3/2016,OPTIC
12/3/2016,OPTIC
12/2/2016,ASTRALIS
12/1/2016,FAZE
12/1/2016,OPTIC
11/30/2016,ASTRALIS
11/30/2016,SK
11/27/2016,MOUSESPORTS
11/27/2016,NIP
11/27/2016,NIP
11/27/2016,ENVY
11/27/2016,ASTRALIS
11/27/2016,ASTRALIS
11/26/2016,GODSENT
11/26/2016,FAZE
11/26/2016,GAMBIT
11/26/2016,ASTRALIS
11/26/2016,ASTRALIS
11/25/2016,GAMBIT
11/25/2016,MOUSESPORTS
11/25/2016,MOUSESPORTS
11/25/2016,G2
11/25/2016,G2
11/25/2016,NIP
11/25/2016,G2
11/25/2016,CLOUD9
11/25/2016,ASTRALIS
11/25/2016,ASTRALIS
11/24/2016,DIGNITAS
11/24/2016,DIGNITAS
11/24/2016,ASTRALIS
11/24/2016,ASTRALIS
11/24/2016,GAMBIT
11/24/2016,G2
11/24/2016,MOUSESPORTS
11/24/2016,ENVY
11/24/2016,ENVY
11/24/2016,NIP
11/24/2016,FAZE
11/23/2016,FAZE
11/23/2016,FAZE
11/23/2016,VIRTUS.PRO
11/23/2016,ENVY
11/23/2016,ASTRALIS
11/23/2016,ASTRALIS
11/23/2016,G2
11/23/2016,G2
11/22/2016,VIRTUS.PRO
11/22/2016,GODSENT
11/21/2016,NIP
11/20/2016,NIP
11/20/2016,SK
11/19/2016,NIP
11/19/2016,SK
11/19/2016,OPTIC
